Name	control_1	control_2	control_3	NVP64wt_1	NVP64wt_2	NVP64wt_3	NVP64cu_1	NVP64cu_2	NVP64cu_3
jgi|MoeNVP64_1|93442|CE92921_15607	NA	NA	NA	0.01659	0	0	0.005445	0	0.017632
jgi|MoeNVP64_1|9337|CE8816_746	NA	NA	NA	0	0	0.009396	0	0	0
jgi|MoeNVP64_1|93325|CE92804_233	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|9305|CE8784_1137	NA	NA	NA	0.006817	0	0	0.006712	0	0
jgi|MoeNVP64_1|92931|CE92410_1458	NA	NA	NA	0.021694	0.013287	0	0	0	0
jgi|MoeNVP64_1|92856|CE92335_497	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|92789|CE92268_734	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|92086|CE91565_224	NA	NA	NA	0.175737	0.143575	0.037461	0.117911	0.158747	0.17558
jgi|MoeNVP64_1|9177|CE8656_57	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|91550|CE91029_881	NA	NA	NA	0.018032	0	0.022969	0.017756	0	0.019164
jgi|MoeNVP64_1|91501|CE90980_277	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|97912|CE97391_2198	NA	NA	NA	0	0.103374	0	0	0	0
jgi|MoeNVP64_1|91167|CE90646_206	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|90543|CE90022_2789	NA	NA	NA	0.009294	0.02277	0.011839	0	0	0
jgi|MoeNVP64_1|89971|CE89450_183	NA	NA	NA	0	0	0	0	0.013025	0.012776
jgi|MoeNVP64_1|8964|CE8443_10159	NA	NA	NA	0.022207	0.013602	0.014144	0.021867	0	0.011801
jgi|MoeNVP64_1|89443|CE88922_33	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|8865|CE8344_11395	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|8847|CE8326_7292	NA	NA	NA	0	0.030584	0	0	0	0.026534
jgi|MoeNVP64_1|8804|CE8283_7353	NA	NA	NA	0.022504	0	0.014333	0.044318	0.012192	0.011958
jgi|MoeNVP64_1|8764|CE8243_61837	NA	NA	NA	0.051772	0.079275	0.049461	0.02549	0.042073	0
jgi|MoeNVP64_1|87537|CE87016_3542	NA	NA	NA	0.004667	0.005718	0.011891	0.009192	0	0
jgi|MoeNVP64_1|87522|CE87001_4839	NA	NA	NA	0	0	0.008641	0	0	0
jgi|MoeNVP64_1|87481|CE86960_31044	NA	NA	NA	0.016504	0.040433	0.014015	0	0	0.01754
jgi|MoeNVP64_1|87106|CE86585_2218	NA	NA	NA	0.022091	0	0.00938	0	0	0
jgi|MoeNVP64_1|86870|CE86349_11	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|86586|CE86065_2405	NA	NA	NA	0.007742	0.018968	0.009862	0	0	0.008228
jgi|MoeNVP64_1|86526|CE86005_4175	NA	NA	NA	0.011953	0.058569	0.015226	0	0	0
jgi|MoeNVP64_1|86372|CE85851_1612	NA	NA	NA	0.014753	0.018072	0	0.014527	0	0
jgi|MoeNVP64_1|861|CE340_1065	NA	NA	NA	0.044887	0.027493	0	0	0	0
jgi|MoeNVP64_1|86020|CE85499_5709	NA	NA	NA	0	0	0.010046	0	0	0
jgi|MoeNVP64_1|85945|CE85424_544	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|85923|CE85402_2326	NA	NA	NA	0.031488	0	0	0.093018	0	0.033465
jgi|MoeNVP64_1|85666|CE85145_23325	NA	NA	NA	0	0	0	0.017756	0	0.038327
jgi|MoeNVP64_1|85490|CE84969_68	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|85196|CE84675_824	NA	NA	NA	0.055519	0	0.07072	0	0	0.059004
jgi|MoeNVP64_1|84889|CE84368_3905	NA	NA	NA	0	0	0	0	0	0.002448
jgi|MoeNVP64_1|84091|CE83570_1538	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|83813|CE83292_236	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|83691|CE83170_3860	NA	NA	NA	0.008372	0.010255	0.010664	0.008244	0	0.026692
jgi|MoeNVP64_1|83134|CE82613_5783	NA	NA	NA	0.004895	0.005996	0	0.00482	0	0
jgi|MoeNVP64_1|82727|CE82206_262	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|82700|CE82179_102	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|8256|CE7735_5039	NA	NA	NA	0.053074	0	0.033803	0.052262	0	0.141016
jgi|MoeNVP64_1|82406|CE81885_732	NA	NA	NA	0	0	0.032773	0	0	0.054687
jgi|MoeNVP64_1|8235|CE7714_1778	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|82047|CE81526_4327	NA	NA	NA	0	0.012794	0.013304	0	0	0
jgi|MoeNVP64_1|81880|CE81359_4074	NA	NA	NA	0.030687	0.018795	0	0.015108	0	0.016307
jgi|MoeNVP64_1|8166|CE7645_730	NA	NA	NA	0.045863	0.022473	0	0	0	0
jgi|MoeNVP64_1|81520|CE80999_8589	NA	NA	NA	0.101562	0.02262	0.070565	0.136372	0.060025	0.127562
jgi|MoeNVP64_1|81518|CE80997_1927	NA	NA	NA	0	0.467589	0	0.187933	0.413601	0.202837
jgi|MoeNVP64_1|81428|CE80907_413	NA	NA	NA	0	0	0	0.015388	0	0.033217
jgi|MoeNVP64_1|81273|CE80752_1021	NA	NA	NA	0	0	0	0	0	0.008213
jgi|MoeNVP64_1|80854|CE80333_214	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|8040|CE7519_648	NA	NA	NA	0.04262	0	0	0	0	0
jgi|MoeNVP64_1|80095|CE79574_2776	NA	NA	NA	0.010847	0.026574	0.013817	0.021361	0	0
jgi|MoeNVP64_1|80037|CE79516_762	NA	NA	NA	0	0.023075	0	0.018548	0	0
jgi|MoeNVP64_1|79905|CE79384_1075	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|7987|CE7466_1373	NA	NA	NA	0.009173	0	0	0	0	0
jgi|MoeNVP64_1|79722|CE79201_1462	NA	NA	NA	0.014989	0	0	0.00738	0	0.007965
jgi|MoeNVP64_1|79702|CE79181_658	NA	NA	NA	0.005641	0	0	0	0	0
jgi|MoeNVP64_1|79699|CE79178_2709	NA	NA	NA	0.058603	0	0	0	0	0
jgi|MoeNVP64_1|79567|CE79046_60	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|79526|CE79005_1079	NA	NA	NA	0	0	0.035129	0	0	0.029309
jgi|MoeNVP64_1|7949|CE7428_4447	NA	NA	NA	0	0	0	0	0	0.023437
jgi|MoeNVP64_1|79439|CE78918_9173	NA	NA	NA	0.008456	0	0.010771	0	0	0.017973
jgi|MoeNVP64_1|79208|CE78687_251	NA	NA	NA	0	0.035161	0	0	0	0
jgi|MoeNVP64_1|79203|CE78682_350	NA	NA	NA	0	0	0.014107	0	0	0
jgi|MoeNVP64_1|78403|CE77882_930	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|78311|CE77790_1194	NA	NA	NA	0	0.030766	0	0.012366	0	0
jgi|MoeNVP64_1|77450|CE76929_1135	NA	NA	NA	0	0.00709	0	0.005699	0	0
jgi|MoeNVP64_1|77439|CE76918_873	NA	NA	NA	0	0	0.012188	0	0	0.010168
jgi|MoeNVP64_1|76770|CE76249_1003	NA	NA	NA	0.019903	0	0	0	0	0.021152
jgi|MoeNVP64_1|76558|CE76037_3848	NA	NA	NA	0.015016	0	0	0	0	0
jgi|MoeNVP64_1|76238|CE75717_287	NA	NA	NA	0	0	0	0.01724	0	0
jgi|MoeNVP64_1|76220|CE75699_1315	NA	NA	NA	0.012483	0	0	0	0	0.053069
jgi|MoeNVP64_1|76156|CE75635_19	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|76079|CE75558_9714	NA	NA	NA	0.017829	0	0.00757	0.005852	0.006439	0.03158
jgi|MoeNVP64_1|76059|CE75538_1869	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|75679|CE75158_2431	NA	NA	NA	0.003688	0	0	0	0	0.00392
jgi|MoeNVP64_1|7548|CE7027_416	NA	NA	NA	0	0	0	0	0	0.010032
jgi|MoeNVP64_1|75304|CE74783_1882	NA	NA	NA	0.012767	0.00782	0.016262	0.012571	0	0.006784
jgi|MoeNVP64_1|75273|CE74752_170	NA	NA	NA	0.026371	0.032304	0.033592	0	0	0
jgi|MoeNVP64_1|75160|CE74639_85	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|749|CE228_7232	NA	NA	NA	0.023572	0	0.04504	0.034817	0	0.050104
jgi|MoeNVP64_1|74962|CE74441_3134	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|74858|CE74337_852	NA	NA	NA	0	0.015113	0.015716	0	0	0.013112
jgi|MoeNVP64_1|74737|CE74216_336	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|74565|CE74044_875	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|74399|CE73878_1635	NA	NA	NA	0.027533	0	0.008768	0.006778	0	0
jgi|MoeNVP64_1|73763|CE73242_2428	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|73741|CE73220_138	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|73536|CE73015_159	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|73521|CE73000_13228	NA	NA	NA	0.026537	0	0	0	0	0
jgi|MoeNVP64_1|73491|CE72970_3534	NA	NA	NA	0.006559	0.002678	0.002785	0.002153	0	0.023235
jgi|MoeNVP64_1|73223|CE72702_5166	NA	NA	NA	0.017364	0	0	0	0	0
jgi|MoeNVP64_1|73218|CE72697_10873	NA	NA	NA	0.081143	0	0	0.0799	0.087922	0.086237
jgi|MoeNVP64_1|72973|CE72452_1628	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|72912|CE72391_1527	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|72904|CE72383_3212	NA	NA	NA	0.007383	0	0.004702	0	0	0.007847
jgi|MoeNVP64_1|72662|CE72141_14	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|72392|CE71871_2641	NA	NA	NA	0	0.002915	0.003031	0.002343	0	0
jgi|MoeNVP64_1|72237|CE71716_738	NA	NA	NA	0	0	0	0	0	0.033717
jgi|MoeNVP64_1|72219|CE71698_795	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|72155|CE71634_24	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|71952|CE71431_1157	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|71763|CE71242_647	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|71654|CE71133_1049	NA	NA	NA	0	0	0	0	0	0.050104
jgi|MoeNVP64_1|71498|CE70977_1095	NA	NA	NA	0	0	0	0.010708	0	0
jgi|MoeNVP64_1|71288|CE70767_340	NA	NA	NA	0	0	0.041029	0	0	0
jgi|MoeNVP64_1|71195|CE70674_748	NA	NA	NA	0	0.017172	0.017856	0	0	0
jgi|MoeNVP64_1|71156|CE70635_149	NA	NA	NA	0.130229	0	0.033177	0	0	0
jgi|MoeNVP64_1|70959|CE70438_1804	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|69429|CE68908_2965	NA	NA	NA	0	0	0.031616	0	0	0.052756
jgi|MoeNVP64_1|69320|CE68799_848	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|69176|CE68655_6136	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|68849|CE68328_1137	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|68690|CE68169_2846	NA	NA	NA	0.017364	0	0.022118	0.017098	0	0
jgi|MoeNVP64_1|68413|CE67892_1105	NA	NA	NA	0.005334	0	0	0.005253	0	0
jgi|MoeNVP64_1|68309|CE67788_1329	NA	NA	NA	0	0	0.007035	0.005438	0	0
jgi|MoeNVP64_1|68254|CE67733_1612	NA	NA	NA	0.005035	0	0	0	0.005456	0.005351
jgi|MoeNVP64_1|68230|CE67709_4846	NA	NA	NA	1.00263	0	0.638583	0.493641	0.5432	0
jgi|MoeNVP64_1|68029|CE67508_4611	NA	NA	NA	0.016678	0	0.010622	0	0	0
jgi|MoeNVP64_1|67806|CE67285_2156	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67679|CE67158_761	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67588|CE67067_1586	NA	NA	NA	0.060277	0	0	0	0	0
jgi|MoeNVP64_1|67421|CE66900_702	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67414|CE66893_498	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67408|CE66887_561	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67381|CE66860_7	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67352|CE66831_256	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|67268|CE66747_1910	NA	NA	NA	0	0.005087	0.01058	0.004089	0	0.013241
jgi|MoeNVP64_1|67206|CE66685_314	NA	NA	NA	0	0	0	0.004411	0	0
jgi|MoeNVP64_1|6700|CE6179_6663	NA	NA	NA	0.022091	0	0.02814	0.032629	0	0.011739
jgi|MoeNVP64_1|66994|CE66473_966	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|66910|CE66389_795	NA	NA	NA	0	0	0.004954	0.003829	0	0.004142
jgi|MoeNVP64_1|66577|CE66056_1459	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|66423|CE65902_5903	NA	NA	NA	0.008594	0.010527	0	0	0.009311	0
jgi|MoeNVP64_1|66244|CE65723_215	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|66182|CE65661_1148	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|66074|CE65553_1228	NA	NA	NA	0	0.017172	0.035713	0	0	0.029796
jgi|MoeNVP64_1|66051|CE65530_1640	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|66011|CE65490_139	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|65658|CE65137_409	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|65590|CE65069_757	NA	NA	NA	0	0	0.027492	0	0	0.011469
jgi|MoeNVP64_1|65435|CE64914_398	NA	NA	NA	0.047057	0.009607	0.039961	0	0	0
jgi|MoeNVP64_1|65237|CE64716_133	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|65105|CE64584_4125	NA	NA	NA	0.004479	0.010974	0.022823	0.004411	0	0.00476
jgi|MoeNVP64_1|79235|CE78714_288	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|64721|CE64200_210	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|64639|CE64118_380	NA	NA	NA	0	0	0	0	0	0.546866
jgi|MoeNVP64_1|64556|CE64035_4253	NA	NA	NA	0.039994	0.012248	0	0	0	0.010626
jgi|MoeNVP64_1|64432|CE63911_7909	NA	NA	NA	0.004337	0	0.005524	0.00427	0	0.018435
jgi|MoeNVP64_1|64207|CE63686_172	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|63856|CE63335_230	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|63555|CE63034_1820	NA	NA	NA	0.005494	0.00673	0	0	0	0
jgi|MoeNVP64_1|63435|CE62914_3030	NA	NA	NA	0.015016	0.003679	0.015302	0	0	0.003192
jgi|MoeNVP64_1|63313|CE62792_3060	NA	NA	NA	0	0	0.021328	0	0.018143	0
jgi|MoeNVP64_1|63310|CE62789_3403	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|630|CE109_805	NA	NA	NA	0.029714	0	0	0.029259	0	0
jgi|MoeNVP64_1|63062|CE62541_2474	NA	NA	NA	0.009767	0	0.012442	0	0	0
jgi|MoeNVP64_1|62873|CE62352_172682	NA	NA	NA	0.011528	0.004707	0	0.003784	0	0.004084
jgi|MoeNVP64_1|62595|CE62074_1501	NA	NA	NA	0	0	0	0.006811	0	0.029405
jgi|MoeNVP64_1|62527|CE62006_1176	NA	NA	NA	0	0	0	0	0	0.017937
jgi|MoeNVP64_1|62467|CE61946_1029	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|62073|CE61552_3863	NA	NA	NA	0.011207	0.006864	0.014276	0	0.012143	0.01191
jgi|MoeNVP64_1|62018|CE61497_2042	NA	NA	NA	0	0	0	0.009443	0	0
jgi|MoeNVP64_1|61945|CE61424_14453	NA	NA	NA	0	0.002678	0	0	0.002369	0
jgi|MoeNVP64_1|61761|CE61240_56	NA	NA	NA	0	0	0.063985	0	0	0
jgi|MoeNVP64_1|61694|CE61173_1236	NA	NA	NA	0	0	0	0	0	0.002942
jgi|MoeNVP64_1|61689|CE61168_285	NA	NA	NA	0.015627	0	0	0	0	0
jgi|MoeNVP64_1|61594|CE61073_54	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|61563|CE61042_278	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|6116|CE5595_4321	NA	NA	NA	0.005017	0	0.003195	0	0	0
jgi|MoeNVP64_1|61101|CE60580_9551	NA	NA	NA	0.008927	0	0.00379	0.00293	0	0.003162
jgi|MoeNVP64_1|60501|CE59980_75	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|6047|CE5526_2393	NA	NA	NA	0.012073	0	0	0	0	0.006415
jgi|MoeNVP64_1|60447|CE59926_388	NA	NA	NA	0.422264	0	0	0	0	0
jgi|MoeNVP64_1|5990|CE5469_526	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|59698|CE59177_1128	NA	NA	NA	0.054976	0	0.008754	0	0	0.007303
jgi|MoeNVP64_1|59318|CE58797_2108	NA	NA	NA	0	0	0	0.166192	0	0
jgi|MoeNVP64_1|58859|CE58338_782	NA	NA	NA	0	0	0	0	0	0.007679
jgi|MoeNVP64_1|58848|CE58327_3141	NA	NA	NA	0	0	0	0	0.005273	0.005172
jgi|MoeNVP64_1|58687|CE58166_65201	NA	NA	NA	0.248201	0.304042	0.505858	0	0.053787	0.105513
jgi|MoeNVP64_1|58607|CE58086_990	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|58527|CE58006_152	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|58284|CE57763_843	NA	NA	NA	0	0	0	0.01006	0	0
jgi|MoeNVP64_1|58169|CE57648_107	NA	NA	NA	0	0	0	0	0	1.12711
jgi|MoeNVP64_1|58076|CE57555_473	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|57474|CE56953_631	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|56361|CE55840_213	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|56087|CE55566_1854	NA	NA	NA	0.062976	0	0	0.020671	0	0.02231
jgi|MoeNVP64_1|55763|CE55242_246	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|55755|CE55234_140	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|54967|CE54446_5244	NA	NA	NA	0.120555	0	0	0.178063	0	0.064061
jgi|MoeNVP64_1|54962|CE54441_84	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|54829|CE54308_1449	NA	NA	NA	0	0	0	0	0	2.04603
jgi|MoeNVP64_1|54781|CE54260_406	NA	NA	NA	0	0	0.030195	0	0	0
jgi|MoeNVP64_1|54774|CE54253_86	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|54348|CE53827_1476	NA	NA	NA	0.008306	0	0	0	0.009	0
jgi|MoeNVP64_1|53881|CE53360_3110	NA	NA	NA	0.006708	0.008217	0.008545	0	0.007269	0
jgi|MoeNVP64_1|53880|CE53359_7746	NA	NA	NA	1.24901	0	0	0.614944	0	0
jgi|MoeNVP64_1|53660|CE53139_1635	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|53644|CE53123_6832	NA	NA	NA	0	0	2.92622	0	0	0.813811
jgi|MoeNVP64_1|53519|CE52998_1662	NA	NA	NA	0	0	0	0.01126	0	0
jgi|MoeNVP64_1|53126|CE52605_64107	NA	NA	NA	0.010607	0.012993	0.002702	0.004178	0.004597	0.002255
jgi|MoeNVP64_1|53037|CE52516_1519	NA	NA	NA	0.006542	0.008014	0.008333	0	0	0
jgi|MoeNVP64_1|52980|CE52459_15913	NA	NA	NA	0.019534	0	0.024883	0.019235	0.021166	0.020761
jgi|MoeNVP64_1|52392|CE51871_903	NA	NA	NA	0	0.054451	0	0	0	0.055469
jgi|MoeNVP64_1|52241|CE51720_407	NA	NA	NA	0	0.011068	0	0	0.00979	0
jgi|MoeNVP64_1|5223|CE4702_1022	NA	NA	NA	0	0.028244	0	0	0	0
jgi|MoeNVP64_1|52217|CE51696_297	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|52170|CE51649_428	NA	NA	NA	0	0	0	0	0	0.019413
jgi|MoeNVP64_1|52042|CE51521_3452	NA	NA	NA	0	0	0	0.010681	0	0.011528
jgi|MoeNVP64_1|51931|CE51410_5910	NA	NA	NA	0.010367	0	0.013206	0	0.011233	0
jgi|MoeNVP64_1|51753|CE51232_945	NA	NA	NA	0	0	0	0	0	0.018303
jgi|MoeNVP64_1|51522|CE51001_11357	NA	NA	NA	0.015233	0.01866	0	0.044998	0	0.016189
jgi|MoeNVP64_1|51417|CE50896_1797	NA	NA	NA	0.044182	0	0.02814	0	0	0
jgi|MoeNVP64_1|51325|CE50804_7430	NA	NA	NA	0.013481	0	0	0.006637	0	0.007163
jgi|MoeNVP64_1|51312|CE50791_1122	NA	NA	NA	0.005121	0	0.006523	0	0	0
jgi|MoeNVP64_1|51122|CE50601_2945	NA	NA	NA	0.02425	0.011882	0.018534	0.004776	0	0
jgi|MoeNVP64_1|50862|CE50341_3036	NA	NA	NA	0	0	0	0.184658	0	0
jgi|MoeNVP64_1|50837|CE50316_1130	NA	NA	NA	0.017654	0	0	0	0	0
jgi|MoeNVP64_1|50658|CE50137_18413	NA	NA	NA	0.009397	0.011512	0.047882	0.02776	0	0.009987
jgi|MoeNVP64_1|50438|CE49917_674	NA	NA	NA	0.005053	0	0	0	0	0
jgi|MoeNVP64_1|50333|CE49812_14684	NA	NA	NA	0.016291	0	0.020752	0	0	0.034628
jgi|MoeNVP64_1|50332|CE49811_1318	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|50198|CE49677_1441	NA	NA	NA	0.089775	0.109973	0	0	0	0
jgi|MoeNVP64_1|50095|CE49574_330	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|49846|CE49325_2779	NA	NA	NA	0.068055	0.041683	0.086689	0	0	0
jgi|MoeNVP64_1|49779|CE49258_932	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|49613|CE49092_2561	NA	NA	NA	0	0	0	0.259657	0	0
jgi|MoeNVP64_1|49581|CE49060_10762	NA	NA	NA	0.030356	0.012395	0.064445	0.029891	0	0.032261
jgi|MoeNVP64_1|49569|CE49048_38320	NA	NA	NA	0.424774	0.034689	0.396793	0.111539	0.030684	0.30096
jgi|MoeNVP64_1|49446|CE48925_1022	NA	NA	NA	0.01557	0	0	0	0	0
jgi|MoeNVP64_1|48600|CE48079_89	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|48476|CE47955_3203	NA	NA	NA	0	0.012515	0	0.02012	0	0
jgi|MoeNVP64_1|4842|CE4321_24	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|47772|CE47251_1081	NA	NA	NA	0	0	0.016955	0.026213	0	0.014146
jgi|MoeNVP64_1|47678|CE47157_374	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|47335|CE46814_47	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|47255|CE46734_884	NA	NA	NA	0	0.048761	0.050705	0	0	0
